,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
2008,0.0,83.0,4.0,5.0,2.0,1.0,2675.0,1.0,0.0,0.0,1.0,2.0,2.55
2009,0.0,57.0,4.0,4.0,4.0,3.0,2300.0,0.0,0.0,1.0,2.0,2.0,2.09
2010,0.0,57.0,3.0,3.0,4.0,2.0,1450.0,0.0,0.0,0.0,0.0,1.0,1.37
2011,0.0,103.0,2.0,2.0,2.0,4.0,995.0,0.0,0.0,0.0,1.0,0.0,0.48
2012,1.0,42.0,3.0,3.0,3.0,0.0,900.0,0.0,1.0,0.0,1.0,2.0,2.15
2013,0.0,86.0,4.0,4.0,4.0,1.0,2599.0,1.0,0.0,2.0,0.0,2.0,3.46
2014,1.0,29.0,6.0,8.0,4.0,0.0,4500.0,1.0,1.0,1.0,2.0,2.0,19.0
2015,0.0,91.0,4.0,5.0,4.0,4.0,2013.0,0.0,0.0,1.0,1.0,0.0,2.5
2016,0.0,103.0,2.0,2.0,0.0,3.0,1081.0,0.0,0.0,0.0,2.0,1.0,0.75
2017,0.0,67.0,3.0,3.0,3.0,4.0,1667.0,0.0,0.0,0.0,2.0,0.0,3.0
2018,0.0,89.0,3.0,3.0,2.0,3.0,1200.0,1.0,1.0,1.0,0.0,2.0,1.12
2019,0.0,99.0,3.0,3.0,2.0,3.0,1738.0,0.0,0.0,0.0,2.0,2.0,1.42
2020,0.0,98.0,4.0,4.0,3.0,3.0,2465.0,1.0,0.0,0.0,2.0,2.0,1.9
2021,1.0,51.0,4.0,4.0,3.0,2.0,3200.0,0.0,0.0,1.0,2.0,1.0,7.42
2022,0.0,87.0,3.0,4.0,4.0,4.0,1774.0,0.0,0.0,0.0,2.0,2.0,1.25
2023,0.0,5.0,3.0,3.0,3.0,3.0,1852.0,0.0,0.0,0.0,2.0,2.0,2.12
2024,0.0,35.0,3.0,3.0,4.0,1.0,1500.0,1.0,0.0,0.0,1.0,2.0,1.7
2025,0.0,63.0,2.0,2.0,2.0,1.0,1278.0,0.0,0.0,0.0,2.0,2.0,1.47
2026,0.0,87.0,3.0,3.0,4.0,3.0,1955.0,1.0,0.0,1.0,2.0,0.0,1.39
2027,0.0,89.0,3.0,3.0,3.0,3.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.75
2028,0.0,64.0,2.0,2.0,2.0,1.0,1200.0,0.0,0.0,2.0,0.0,2.0,2.45
2029,1.0,69.0,6.0,7.0,4.0,0.0,3600.0,1.0,0.0,1.0,1.0,0.0,8.0
2030,0.0,9.0,4.0,5.0,4.0,3.0,1535.0,1.0,0.0,0.0,1.0,0.0,1.32
2031,0.0,10.0,3.0,2.0,2.0,3.0,717.0,0.0,0.0,0.0,1.0,2.0,0.52
2032,0.0,17.0,2.0,2.0,2.0,3.0,1080.0,0.0,0.0,0.0,2.0,2.0,1.45
2033,0.0,10.0,2.0,2.0,2.0,3.0,543.0,0.0,0.0,0.0,1.0,2.0,0.28
2034,0.0,86.0,3.0,2.0,4.0,3.0,1352.0,0.0,0.0,0.0,2.0,0.0,1.15
2035,1.0,44.0,10.0,10.0,4.0,1.0,549.0,1.0,0.0,0.0,1.0,2.0,2.1
2036,1.0,8.0,3.0,2.0,1.0,3.0,720.0,0.0,0.0,0.0,1.0,1.0,0.65
2037,0.0,94.0,2.0,2.0,4.0,3.0,1463.0,0.0,0.0,0.0,2.0,2.0,1.31
2038,0.0,89.0,2.0,2.0,2.0,3.0,1150.0,0.0,0.0,1.0,2.0,0.0,0.75
2039,0.0,7.0,3.0,4.0,3.0,1.0,2544.0,0.0,0.0,0.0,2.0,0.0,1.8
2040,0.0,12.0,3.0,4.0,3.0,3.0,1860.0,1.0,1.0,0.0,1.0,0.0,2.22
2041,0.0,5.0,3.0,3.0,3.0,3.0,1300.0,1.0,0.0,0.0,1.0,2.0,1.4
2042,1.0,23.0,3.0,3.0,2.0,2.0,1557.0,0.0,0.0,0.0,1.0,1.0,2.55
2043,1.0,28.0,4.0,4.0,2.0,2.0,3618.0,1.0,0.0,1.0,2.0,1.0,10.5
2044,0.0,37.0,4.0,5.0,3.0,3.0,2343.0,1.0,0.0,0.0,1.0,2.0,1.4
2045,0.0,103.0,2.0,2.0,2.0,3.0,913.0,0.0,0.0,0.0,0.0,2.0,0.52
2046,0.0,103.0,2.0,2.0,2.0,1.0,605.0,0.0,0.0,0.0,2.0,2.0,0.3
